Date,Price,Car Type
01-09-2017,17615.6319564884,Audi A4
02-05-2017,17515.0102913009,Audi A4
03-04-2017,17171.5942453381,Audi A4
03-31-2017,17039.2338536202,Audi A4
04-27-2017,17293.114310185,Audi A4
05-24-2017,17612.7007282087,Audi A4
06-20-2017,17953.8881259499,Audi A4
07-17-2017,17989.2177141417,Audi A4
08-13-2017,17691.1968426968,Audi A4
09-09-2017,17553.777399304,Audi A4
10-06-2017,17493.32694582,Audi A4
11-02-2017,17549.853934617,Audi A4
11-29-2017,17640.069171216,Audi A4
12-26-2017,17399.2264318518,Audi A4
01-22-2018,17124.0060544006,Audi A4
02-18-2018,16764.6441329245,Audi A4
03-17-2018,16564.8824461641,Audi A4
04-13-2018,16791.6138840688,Audi A4
05-10-2018,16922.5181036201,Audi A4
06-06-2018,16784.1557948402,Audi A4
07-03-2018,16427.4674107576,Audi A4
07-30-2018,16035.7167575638,Audi A4
08-26-2018,15805.1940684072,Audi A4
09-22-2018,15838.3473807154,Audi A4
10-19-2018,16195.2343566049,Audi A4
11-15-2018,16680.3806153415,Audi A4
12-12-2018,17009.5594802878,Audi A4
01-08-2019,17006.6390297757,Audi A4
02-04-2019,17188.0829393064,Audi A4
03-03-2019,17348.8391350889,Audi A4
03-30-2019,17708.9362911347,Audi A4
04-26-2019,18101.437299036,Audi A4
05-23-2019,18427.3491194957,Audi A4
06-19-2019,18361.6598272567,Audi A4
07-16-2019,18217.5289815953,Audi A4
08-12-2019,18154.0461192447,Audi A4
09-08-2019,17733.4158203467,Audi A4
10-05-2019,17670.0139016373,Audi A4
11-01-2019,17720.5316789308,Audi A4
11-28-2019,17753.402858001,Audi A4
12-25-2019,17916.976395259,Audi A4
01-21-2020,17859.229490234,Audi A4
02-17-2020,17766.0177445363,Audi A4
03-15-2020,17901.7239214008,Audi A4
04-11-2020,18229.0345810628,Audi A4
05-08-2020,18258.875259384,Audi A4
06-04-2020,17945.4513294239,Audi A4
07-01-2020,18180.6781611167,Audi A4
07-28-2020,18727.6441556659,Audi A4
08-24-2020,19579.7068351579,Audi A4
09-20-2020,20275.5066375021,Audi A4
10-17-2020,20511.6095365712,Audi A4
11-13-2020,20404.7422759405,Audi A4
12-10-2020,20276.873600267,Audi A4
01-06-2021,20078.7933549757,Audi A4
02-02-2021,19703.9260815872,Audi A4
03-01-2021,19598.9117677237,Audi A4
03-28-2021,19963.4347027883,Audi A4
04-24-2021,20550.3110980688,Audi A4
05-21-2021,21405.7186403421,Audi A4
06-17-2021,22297.082527151,Audi A4
07-14-2021,22944.8897907468,Audi A4
08-10-2021,23068.0871010007,Audi A4
09-06-2021,22804.1031567723,Audi A4
10-03-2021,22632.7772495946,Audi A4
10-30-2021,22637.0437830461,Audi A4
11-26-2021,22732.1006213581,Audi A4
12-23-2021,22983.0566934518,Audi A4
01-19-2022,23185.6645649278,Audi A4
02-15-2022,23835.1018893233,Audi A4
03-14-2022,24224.2427110571,Audi A4
04-10-2022,24368.0809540945,Audi A4
05-07-2022,24235.6484304845,Audi A4
06-03-2022,23962.1167265473,Audi A4
06-30-2022,24092.0980034716,Audi A4
07-27-2022,24118.1470982997,Audi A4
08-23-2022,24210.2156642913,Audi A4
09-19-2022,24115.8332528236,Audi A4
10-16-2022,24126.8414306885,Audi A4
11-12-2022,24341.8686501219,Audi A4
12-09-2022,24461.5045933969,Audi A4
01-05-2023,24551.1376951248,Audi A4
02-01-2023,24760.1900041225,Audi A4
02-28-2023,25145.8422255617,Audi A4
03-27-2023,25674.6370838944,Audi A4
04-23-2023,26053.7030821586,Audi A4
05-20-2023,26462.8653521663,Audi A4
06-16-2023,26793.3892769326,Audi A4
07-13-2023,27020.8160096091,Audi A4
08-09-2023,27039.2215697656,Audi A4
09-05-2023,27028.8660497598,Audi A4
10-02-2023,26931.5160577089,Audi A4
10-29-2023,26864.4934022577,Audi A4
11-25-2023,26940.8614347965,Audi A4
12-22-2023,27108.9076505658,Audi A4
01-18-2024,27378.3151567367,Audi A4
